OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11489,117,HDB-CHOA CHU KANG,680117,TECK WHYE LANE,1.3795884875772422,103.75127167059225
11490,16,TECK WHYE HEIGHTS III,680016,TECK WHYE LANE,1.3783772051593965,103.75476445234975
11491,14,TECK WHYE HEIGHTS II,680014,TECK WHYE LANE,1.3784808372757282,103.75567505359629
11492,507A,MONTREAL SPRING,751507,WELLINGTON CIRCLE,1.4527301303341915,103.82396656580052
11493,780,WOODLANDS DEW,730780,WOODLANDS CRESCENT,1.4483408753793112,103.80105682012857
11494,19A,MULTI STOREY CAR PARK,131019,DOVER CRESCENT,1.307353145119746,103.78454811506087
11495,997,BUANGKOK EDGEVIEW,530997,BUANGKOK CRESCENT,1.3854417291391232,103.8807637926194
11496,991,BUANGKOK SQUARE,530991,BUANGKOK LINK,1.3843309710925293,103.88162287429058
11497,492,TAMPINES GREENEDGE,524492,TAMPINES STREET 45,1.3639219934749593,103.95572193406984
11498,596,CITY VIEW @ CHENG SAN,560596,ANG MO KIO STREET 52,1.3723450078706443,103.85130842345106
11499,138,LAKE VISTA @ YUAN CHING,610138,YUAN CHING ROAD,1.3279243271396588,103.72333897567246
11500,8,HDB-BUKIT MERAH,90008,TELOK BLANGAH CRESCENT,1.2777947267783714,103.8193409711912
